brickname,ra,dec,ra1,ra2,dec1,dec2
1808m027,180.875,-2.75,180.75,181,-2.875,-2.625
1808m030,180.875,-3,180.75,181,-3.125,-2.875
1808m032,180.87621696801114,-3.25,180.75104311543805,181.00139082058422,-3.375,-3.125
1808m035,180.87621696801114,-3.5,180.75104311543805,181.00139082058422,-3.625,-3.375
1808p000,180.875,0,180.75,181,-0.125,0.125
1808p002,180.875,0.25,180.75,181,0.125,0.375
1808p005,180.875,0.5,180.75,181,0.375,0.625
1808p007,180.875,0.75,180.75,181,0.625,0.875
1808p010,180.875,1,180.75,181,0.875,1.125
1808p012,180.875,1.25,180.75,181,1.125,1.375
1808p015,180.875,1.5,180.75,181,1.375,1.625
1808p017,180.875,1.75,180.75,181,1.625,1.875
1808p020,180.875,2,180.75,181,1.875,2.125
1808p022,180.875,2.25,180.75,181,2.125,2.375
1808p025,180.875,2.5,180.75,181,2.375,2.625
1808p027,180.875,2.75,180.75,181,2.625,2.875
1808p030,180.875,3,180.75,181,2.875,3.125
1808p032,180.87621696801114,3.25,180.75104311543805,181.00139082058422,3.125,3.375
1808p035,180.87621696801114,3.5,180.75104311543805,181.00139082058422,3.375,3.625
1811m002,181.125,-0.25,181,181.25,-0.375,-0.125
1811m005,181.125,-0.5,181,181.25,-0.625,-0.375
1811m007,181.125,-0.75,181,181.25,-0.875,-0.625
1811m010,181.125,-1,181,181.25,-1.125,-0.875
1811m012,181.125,-1.25,181,181.25,-1.375,-1.125
1811m015,181.125,-1.5,181,181.25,-1.625,-1.375
1811m017,181.125,-1.75,181,181.25,-1.875,-1.625
1811m020,181.125,-2,181,181.25,-2.125,-1.875
1811m022,181.125,-2.25,181,181.25,-2.375,-2.125
1811m025,181.125,-2.5,181,181.25,-2.625,-2.375
1811m027,181.125,-2.75,181,181.25,-2.875,-2.625
1811m030,181.125,-3,181,181.25,-3.125,-2.875
1811m032,181.12656467315716,-3.25,181.0013908205841,181.25173852573016,-3.375,-3.125
1811m035,181.12656467315716,-3.5,181.0013908205841,181.25173852573016,-3.625,-3.375
1811p000,181.125,0,181,181.25,-0.125,0.125
1811p002,181.125,0.25,181,181.25,0.125,0.375
1811p005,181.125,0.5,181,181.25,0.375,0.625
1811p007,181.125,0.75,181,181.25,0.625,0.875
1811p010,181.125,1,181,181.25,0.875,1.125
1811p012,181.125,1.25,181,181.25,1.125,1.375
1811p015,181.125,1.5,181,181.25,1.375,1.625
1811p017,181.125,1.75,181,181.25,1.625,1.875
1811p020,181.125,2,181,181.25,1.875,2.125
1811p022,181.125,2.25,181,181.25,2.125,2.375
1811p025,181.125,2.5,181,181.25,2.375,2.625
1811p027,181.125,2.75,181,181.25,2.625,2.875
1811p030,181.125,3,181,181.25,2.875,3.125
1811p032,181.12656467315716,3.25,181.0013908205841,181.25173852573016,3.125,3.375
1811p035,181.12656467315716,3.5,181.0013908205841,181.25173852573016,3.375,3.625
1813m002,181.375,-0.25,181.25,181.5,-0.375,-0.125
1813m005,181.375,-0.5,181.25,181.5,-0.625,-0.375
1813m007,181.375,-0.75,181.25,181.5,-0.875,-0.625
1813m010,181.375,-1,181.25,181.5,-1.125,-0.875
1813m012,181.375,-1.25,181.25,181.5,-1.375,-1.125
1813m015,181.375,-1.5,181.25,181.5,-1.625,-1.375
1813m017,181.375,-1.75,181.25,181.5,-1.875,-1.625
1813m020,181.375,-2,181.25,181.5,-2.125,-1.875
1813m022,181.375,-2.25,181.25,181.5,-2.375,-2.125
1813m025,181.375,-2.5,181.25,181.5,-2.625,-2.375
1813m027,181.375,-2.75,181.25,181.5,-2.875,-2.625
1813m030,181.375,-3,181.25,181.5,-3.125,-2.875
1813m032,181.3769123783032,-3.25,181.25173852573016,181.50208623087622,-3.375,-3.125
1813m035,181.3769123783032,-3.5,181.25173852573016,181.50208623087622,-3.625,-3.375
1813p000,181.375,0,181.25,181.5,-0.125,0.125
1813p002,181.375,0.25,181.25,181.5,0.125,0.375
1813p005,181.375,0.5,181.25,181.5,0.375,0.625
1813p007,181.375,0.75,181.25,181.5,0.625,0.875
1813p010,181.375,1,181.25,181.5,0.875,1.125
1813p012,181.375,1.25,181.25,181.5,1.125,1.375
1813p015,181.375,1.5,181.25,181.5,1.375,1.625
1813p017,181.375,1.75,181.25,181.5,1.625,1.875
1813p020,181.375,2,181.25,181.5,1.875,2.125
1813p022,181.375,2.25,181.25,181.5,2.125,2.375
1813p025,181.375,2.5,181.25,181.5,2.375,2.625
1813p027,181.375,2.75,181.25,181.5,2.625,2.875
1813p030,181.375,3,181.25,181.5,2.875,3.125
1813p032,181.3769123783032,3.25,181.25173852573016,181.50208623087622,3.125,3.375
1813p035,181.3769123783032,3.5,181.25173852573016,181.50208623087622,3.375,3.625
1816m002,181.625,-0.25,181.5,181.75,-0.375,-0.125
1816m005,181.625,-0.5,181.5,181.75,-0.625,-0.375
1816m007,181.625,-0.75,181.5,181.75,-0.875,-0.625
1816m010,181.625,-1,181.5,181.75,-1.125,-0.875
1816m012,181.625,-1.25,181.5,181.75,-1.375,-1.125
1816m015,181.625,-1.5,181.5,181.75,-1.625,-1.375
1816m017,181.625,-1.75,181.5,181.75,-1.875,-1.625
1816m020,181.625,-2,181.5,181.75,-2.125,-1.875
1816m022,181.625,-2.25,181.5,181.75,-2.375,-2.125
1816m025,181.625,-2.5,181.5,181.75,-2.625,-2.375
1816m027,181.625,-2.75,181.5,181.75,-2.875,-2.625
1816m030,181.625,-3,181.5,181.75,-3.125,-2.875
1816m032,181.62726008344924,-3.25,181.50208623087622,181.75243393602227,-3.375,-3.125
1816m035,181.62726008344924,-3.5,181.50208623087622,181.75243393602227,-3.625,-3.375
1816p000,181.625,0,181.5,181.75,-0.125,0.125
1816p002,181.625,0.25,181.5,181.75,0.125,0.375
1816p005,181.625,0.5,181.5,181.75,0.375,0.625
1816p007,181.625,0.75,181.5,181.75,0.625,0.875
1816p010,181.625,1,181.5,181.75,0.875,1.125
1816p012,181.625,1.25,181.5,181.75,1.125,1.375
1816p015,181.625,1.5,181.5,181.75,1.375,1.625
1816p017,181.625,1.75,181.5,181.75,1.625,1.875
1816p020,181.625,2,181.5,181.75,1.875,2.125
1816p022,181.625,2.25,181.5,181.75,2.125,2.375
1816p025,181.625,2.5,181.5,181.75,2.375,2.625
1816p027,181.625,2.75,181.5,181.75,2.625,2.875
1816p030,181.625,3,181.5,181.75,2.875,3.125
1816p032,181.62726008344924,3.25,181.50208623087622,181.75243393602227,3.125,3.375
1816p035,181.62726008344924,3.5,181.50208623087622,181.75243393602227,3.375,3.625
1818m002,181.875,-0.25,181.75,182,-0.375,-0.125
1818m005,181.875,-0.5,181.75,182,-0.625,-0.375
1818m007,181.875,-0.75,181.75,182,-0.875,-0.625
1818m010,181.875,-1,181.75,182,-1.125,-0.875
1818m012,181.875,-1.25,181.75,182,-1.375,-1.125
1818m015,181.875,-1.5,181.75,182,-1.625,-1.375
1818m017,181.875,-1.75,181.75,182,-1.875,-1.625
1818m020,181.875,-2,181.75,182,-2.125,-1.875
1818m022,181.875,-2.25,181.75,182,-2.375,-2.125
1818m025,181.875,-2.5,181.75,182,-2.625,-2.375
1818m027,181.875,-2.75,181.75,182,-2.875,-2.625
1818m030,181.875,-3,181.75,182,-3.125,-2.875
1818m032,181.87760778859527,-3.25,181.75243393602227,182.00278164116833,-3.375,-3.125
1818m035,181.87760778859527,-3.5,181.75243393602227,182.00278164116833,-3.625,-3.375
1818p000,181.875,0,181.75,182,-0.125,0.125
1818p002,181.875,0.25,181.75,182,0.125,0.375
1818p005,181.875,0.5,181.75,182,0.375,0.625
1818p007,181.875,0.75,181.75,182,0.625,0.875
1818p010,181.875,1,181.75,182,0.875,1.125
1818p012,181.875,1.25,181.75,182,1.125,1.375
1818p015,181.875,1.5,181.75,182,1.375,1.625
1818p017,181.875,1.75,181.75,182,1.625,1.875
1818p020,181.875,2,181.75,182,1.875,2.125
1818p022,181.875,2.25,181.75,182,2.125,2.375
1818p025,181.875,2.5,181.75,182,2.375,2.625
1818p027,181.875,2.75,181.75,182,2.625,2.875
1818p030,181.875,3,181.75,182,2.875,3.125
1818p032,181.87760778859527,3.25,181.75243393602227,182.00278164116833,3.125,3.375
1818p035,181.87760778859527,3.5,181.75243393602227,182.00278164116833,3.375,3.625
1821m002,182.125,-0.25,182,182.25,-0.375,-0.125
1821m005,182.125,-0.5,182,182.25,-0.625,-0.375
1821m007,182.125,-0.75,182,182.25,-0.875,-0.625
1821m010,182.125,-1,182,182.25,-1.125,-0.875
1821m012,182.125,-1.25,182,182.25,-1.375,-1.125
1821m015,182.125,-1.5,182,182.25,-1.625,-1.375
1821m017,182.125,-1.75,182,182.25,-1.875,-1.625
1821m020,182.125,-2,182,182.25,-2.125,-1.875
1821m022,182.125,-2.25,182,182.25,-2.375,-2.125
1821m025,182.125,-2.5,182,182.25,-2.625,-2.375
1821m027,182.125,-2.75,182,182.25,-2.875,-2.625
1821m030,182.125,-3,182,182.25,-3.125,-2.875
1821m032,182.1279554937413,-3.25,182.0027816411682,182.25312934631438,-3.375,-3.125
1821m035,182.1279554937413,-3.5,182.0027816411682,182.25312934631438,-3.625,-3.375
1821p000,182.125,0,182,182.25,-0.125,0.125
1821p002,182.125,0.25,182,182.25,0.125,0.375
1821p005,182.125,0.5,182,182.25,0.375,0.625
1821p007,182.125,0.75,182,182.25,0.625,0.875
1821p010,182.125,1,182,182.25,0.875,1.125
1821p012,182.125,1.25,182,182.25,1.125,1.375
1821p015,182.125,1.5,182,182.25,1.375,1.625
1821p017,182.125,1.75,182,182.25,1.625,1.875
1821p020,182.125,2,182,182.25,1.875,2.125
1821p022,182.125,2.25,182,182.25,2.125,2.375
1821p025,182.125,2.5,182,182.25,2.375,2.625
1821p027,182.125,2.75,182,182.25,2.625,2.875
1821p030,182.125,3,182,182.25,2.875,3.125
1821p032,182.1279554937413,3.25,182.0027816411682,182.25312934631438,3.125,3.375
1821p035,182.1279554937413,3.5,182.0027816411682,182.25312934631438,3.375,3.625
1823m002,182.375,-0.25,182.25,182.5,-0.375,-0.125
1823m005,182.375,-0.5,182.25,182.5,-0.625,-0.375
1823m007,182.375,-0.75,182.25,182.5,-0.875,-0.625
1823m010,182.375,-1,182.25,182.5,-1.125,-0.875
1823m012,182.375,-1.25,182.25,182.5,-1.375,-1.125
1823m015,182.375,-1.5,182.25,182.5,-1.625,-1.375
1823m017,182.375,-1.75,182.25,182.5,-1.875,-1.625
1823m020,182.375,-2,182.25,182.5,-2.125,-1.875
1823m022,182.375,-2.25,182.25,182.5,-2.375,-2.125
1823m025,182.375,-2.5,182.25,182.5,-2.625,-2.375
1823m027,182.375,-2.75,182.25,182.5,-2.875,-2.625
1823m030,182.375,-3,182.25,182.5,-3.125,-2.875
1823m032,182.37830319888735,-3.25,182.25312934631438,182.50347705146032,-3.375,-3.125
1823m035,182.37830319888735,-3.5,182.25312934631438,182.50347705146032,-3.625,-3.375
1823p000,182.375,0,182.25,182.5,-0.125,0.125
1823p002,182.375,0.25,182.25,182.5,0.125,0.375
1823p005,182.375,0.5,182.25,182.5,0.375,0.625
1823p007,182.375,0.75,182.25,182.5,0.625,0.875
1823p010,182.375,1,182.25,182.5,0.875,1.125
1823p012,182.375,1.25,182.25,182.5,1.125,1.375
1823p015,182.375,1.5,182.25,182.5,1.375,1.625
1823p017,182.375,1.75,182.25,182.5,1.625,1.875
1823p020,182.375,2,182.25,182.5,1.875,2.125
1823p022,182.375,2.25,182.25,182.5,2.125,2.375
1823p025,182.375,2.5,182.25,182.5,2.375,2.625
1823p027,182.375,2.75,182.25,182.5,2.625,2.875
1823p030,182.375,3,182.25,182.5,2.875,3.125
1823p032,182.37830319888735,3.25,182.25312934631438,182.50347705146032,3.125,3.375
1823p035,182.37830319888735,3.5,182.25312934631438,182.50347705146032,3.375,3.625
1826m002,182.625,-0.25,182.5,182.75,-0.375,-0.125
1826m005,182.625,-0.5,182.5,182.75,-0.625,-0.375
1826m007,182.625,-0.75,182.5,182.75,-0.875,-0.625
1826m010,182.625,-1,182.5,182.75,-1.125,-0.875
1826m012,182.625,-1.25,182.5,182.75,-1.375,-1.125
1826m015,182.625,-1.5,182.5,182.75,-1.625,-1.375
1826m017,182.625,-1.75,182.5,182.75,-1.875,-1.625
1826m020,182.625,-2,182.5,182.75,-2.125,-1.875
1826m022,182.625,-2.25,182.5,182.75,-2.375,-2.125
1826m025,182.625,-2.5,182.5,182.75,-2.625,-2.375
1826m027,182.625,-2.75,182.5,182.75,-2.875,-2.625
1826m030,182.625,-3,182.5,182.75,-3.125,-2.875
1826m032,182.62865090403338,-3.25,182.50347705146032,182.75382475660638,-3.375,-3.125
1826m035,182.62865090403338,-3.5,182.50347705146032,182.75382475660638,-3.625,-3.375
1826p000,182.625,0,182.5,182.75,-0.125,0.125
1826p002,182.625,0.25,182.5,182.75,0.125,0.375
1826p005,182.625,0.5,182.5,182.75,0.375,0.625
1826p007,182.625,0.75,182.5,182.75,0.625,0.875
1826p010,182.625,1,182.5,182.75,0.875,1.125
1826p012,182.625,1.25,182.5,182.75,1.125,1.375
1826p015,182.625,1.5,182.5,182.75,1.375,1.625
1826p017,182.625,1.75,182.5,182.75,1.625,1.875
1826p020,182.625,2,182.5,182.75,1.875,2.125
1826p022,182.625,2.25,182.5,182.75,2.125,2.375
1826p025,182.625,2.5,182.5,182.75,2.375,2.625
1826p027,182.625,2.75,182.5,182.75,2.625,2.875
1826p030,182.625,3,182.5,182.75,2.875,3.125
1826p032,182.62865090403338,3.25,182.50347705146032,182.75382475660638,3.125,3.375
1826p035,182.62865090403338,3.5,182.50347705146032,182.75382475660638,3.375,3.625
1828m002,182.875,-0.25,182.75,183,-0.375,-0.125
1828m005,182.875,-0.5,182.75,183,-0.625,-0.375
1828m007,182.875,-0.75,182.75,183,-0.875,-0.625
1828m010,182.875,-1,182.75,183,-1.125,-0.875
1828m012,182.875,-1.25,182.75,183,-1.375,-1.125
1828m015,182.875,-1.5,182.75,183,-1.625,-1.375
1828m017,182.875,-1.75,182.75,183,-1.875,-1.625
1828m020,182.875,-2,182.75,183,-2.125,-1.875
1828m022,182.875,-2.25,182.75,183,-2.375,-2.125
1828m025,182.875,-2.5,182.75,183,-2.625,-2.375
1828m027,182.875,-2.75,182.75,183,-2.875,-2.625
1828m030,182.875,-3,182.75,183,-3.125,-2.875
1828m032,182.8789986091794,-3.25,182.75382475660638,183.00417246175243,-3.375,-3.125
1828m035,182.8789986091794,-3.5,182.75382475660638,183.00417246175243,-3.625,-3.375
1828p000,182.875,0,182.75,183,-0.125,0.125
1828p002,182.875,0.25,182.75,183,0.125,0.375
1828p005,182.875,0.5,182.75,183,0.375,0.625
1828p007,182.875,0.75,182.75,183,0.625,0.875
1828p010,182.875,1,182.75,183,0.875,1.125
1828p012,182.875,1.25,182.75,183,1.125,1.375
1828p015,182.875,1.5,182.75,183,1.375,1.625
1828p017,182.875,1.75,182.75,183,1.625,1.875
1828p020,182.875,2,182.75,183,1.875,2.125
1828p022,182.875,2.25,182.75,183,2.125,2.375
1828p025,182.875,2.5,182.75,183,2.375,2.625
1828p027,182.875,2.75,182.75,183,2.625,2.875
1828p030,182.875,3,182.75,183,2.875,3.125
1828p032,182.8789986091794,3.25,182.75382475660638,183.00417246175243,3.125,3.375
1828p035,182.8789986091794,3.5,182.75382475660638,183.00417246175243,3.375,3.625
1831m002,183.125,-0.25,183,183.25,-0.375,-0.125
1831m005,183.125,-0.5,183,183.25,-0.625,-0.375
1831m007,183.125,-0.75,183,183.25,-0.875,-0.625
1831m010,183.125,-1,183,183.25,-1.125,-0.875
1831m012,183.125,-1.25,183,183.25,-1.375,-1.125
1831m015,183.125,-1.5,183,183.25,-1.625,-1.375
1831m017,183.125,-1.75,183,183.25,-1.875,-1.625
1831m020,183.125,-2,183,183.25,-2.125,-1.875
1831m022,183.125,-2.25,183,183.25,-2.375,-2.125
1831m025,183.125,-2.5,183,183.25,-2.625,-2.375
1831m027,183.125,-2.75,183,183.25,-2.875,-2.625
1831m030,183.125,-3,183,183.25,-3.125,-2.875
1831m032,183.12934631432546,-3.25,183.00417246175243,183.2545201668985,-3.375,-3.125
1831m035,183.12934631432546,-3.5,183.00417246175243,183.2545201668985,-3.625,-3.375
1831p000,183.125,0,183,183.25,-0.125,0.125
1831p002,183.125,0.25,183,183.25,0.125,0.375
1831p005,183.125,0.5,183,183.25,0.375,0.625
1831p007,183.125,0.75,183,183.25,0.625,0.875
1831p010,183.125,1,183,183.25,0.875,1.125
1831p012,183.125,1.25,183,183.25,1.125,1.375
1831p015,183.125,1.5,183,183.25,1.375,1.625
1831p017,183.125,1.75,183,183.25,1.625,1.875
1831p020,183.125,2,183,183.25,1.875,2.125
1831p022,183.125,2.25,183,183.25,2.125,2.375
1831p025,183.125,2.5,183,183.25,2.375,2.625
1831p027,183.125,2.75,183,183.25,2.625,2.875
1831p030,183.125,3,183,183.25,2.875,3.125
1831p032,183.12934631432546,3.25,183.00417246175243,183.2545201668985,3.125,3.375
1831p035,183.12934631432546,3.5,183.00417246175243,183.2545201668985,3.375,3.625
1833m002,183.375,-0.25,183.25,183.5,-0.375,-0.125
1833m005,183.375,-0.5,183.25,183.5,-0.625,-0.375
1833m007,183.375,-0.75,183.25,183.5,-0.875,-0.625
1833m010,183.375,-1,183.25,183.5,-1.125,-0.875
1833m012,183.375,-1.25,183.25,183.5,-1.375,-1.125
1833m015,183.375,-1.5,183.25,183.5,-1.625,-1.375
1833m017,183.375,-1.75,183.25,183.5,-1.875,-1.625
1833m020,183.375,-2,183.25,183.5,-2.125,-1.875
1833m022,183.375,-2.25,183.25,183.5,-2.375,-2.125
1833m025,183.375,-2.5,183.25,183.5,-2.625,-2.375
1833m027,183.375,-2.75,183.25,183.5,-2.875,-2.625
1833m030,183.375,-3,183.25,183.5,-3.125,-2.875
1833m032,183.3796940194715,-3.25,183.2545201668985,183.50486787204454,-3.375,-3.125
1833m035,183.3796940194715,-3.5,183.2545201668985,183.50486787204454,-3.625,-3.375
1833p000,183.375,0,183.25,183.5,-0.125,0.125
1833p002,183.375,0.25,183.25,183.5,0.125,0.375
1833p005,183.375,0.5,183.25,183.5,0.375,0.625
1833p007,183.375,0.75,183.25,183.5,0.625,0.875
1833p010,183.375,1,183.25,183.5,0.875,1.125
1833p012,183.375,1.25,183.25,183.5,1.125,1.375
1833p015,183.375,1.5,183.25,183.5,1.375,1.625
1833p017,183.375,1.75,183.25,183.5,1.625,1.875
1833p020,183.375,2,183.25,183.5,1.875,2.125
1833p022,183.375,2.25,183.25,183.5,2.125,2.375
1833p025,183.375,2.5,183.25,183.5,2.375,2.625
1833p027,183.375,2.75,183.25,183.5,2.625,2.875
1833p030,183.375,3,183.25,183.5,2.875,3.125
1833p032,183.3796940194715,3.25,183.2545201668985,183.50486787204454,3.125,3.375
1833p035,183.3796940194715,3.5,183.2545201668985,183.50486787204454,3.375,3.625
1836m002,183.625,-0.25,183.5,183.75,-0.375,-0.125
1836m005,183.625,-0.5,183.5,183.75,-0.625,-0.375
1836m007,183.625,-0.75,183.5,183.75,-0.875,-0.625
1836m010,183.625,-1,183.5,183.75,-1.125,-0.875
1836m012,183.625,-1.25,183.5,183.75,-1.375,-1.125
1836m015,183.625,-1.5,183.5,183.75,-1.625,-1.375
1836m017,183.625,-1.75,183.5,183.75,-1.875,-1.625
1836m020,183.625,-2,183.5,183.75,-2.125,-1.875
1836m022,183.625,-2.25,183.5,183.75,-2.375,-2.125
1836m025,183.625,-2.5,183.5,183.75,-2.625,-2.375
1836m027,183.625,-2.75,183.5,183.75,-2.875,-2.625
1836m030,183.625,-3,183.5,183.75,-3.125,-2.875
1836m032,183.6300417246175,-3.25,183.50486787204454,183.75521557719048,-3.375,-3.125
1836m035,183.6300417246175,-3.5,183.50486787204454,183.75521557719048,-3.625,-3.375
1836p000,183.625,0,183.5,183.75,-0.125,0.125
1836p002,183.625,0.25,183.5,183.75,0.125,0.375
1836p005,183.625,0.5,183.5,183.75,0.375,0.625
1836p007,183.625,0.75,183.5,183.75,0.625,0.875
1836p010,183.625,1,183.5,183.75,0.875,1.125
1836p012,183.625,1.25,183.5,183.75,1.125,1.375
1836p015,183.625,1.5,183.5,183.75,1.375,1.625
1836p017,183.625,1.75,183.5,183.75,1.625,1.875
1836p020,183.625,2,183.5,183.75,1.875,2.125
1836p022,183.625,2.25,183.5,183.75,2.125,2.375
1836p025,183.625,2.5,183.5,183.75,2.375,2.625
1836p027,183.625,2.75,183.5,183.75,2.625,2.875
1836p030,183.625,3,183.5,183.75,2.875,3.125
1836p032,183.6300417246175,3.25,183.50486787204454,183.75521557719048,3.125,3.375
1836p035,183.6300417246175,3.5,183.50486787204454,183.75521557719048,3.375,3.625
1838m002,183.875,-0.25,183.75,184,-0.375,-0.125
1838m005,183.875,-0.5,183.75,184,-0.625,-0.375
1838m007,183.875,-0.75,183.75,184,-0.875,-0.625
1838m010,183.875,-1,183.75,184,-1.125,-0.875
1838m012,183.875,-1.25,183.75,184,-1.375,-1.125
1838m015,183.875,-1.5,183.75,184,-1.625,-1.375
1838m017,183.875,-1.75,183.75,184,-1.875,-1.625
1838m020,183.875,-2,183.75,184,-2.125,-1.875
1838m022,183.875,-2.25,183.75,184,-2.375,-2.125
1838m025,183.875,-2.5,183.75,184,-2.625,-2.375
1838m027,183.875,-2.75,183.75,184,-2.875,-2.625
1838m030,183.875,-3,183.75,184,-3.125,-2.875
1838m032,183.88038942976357,-3.25,183.75521557719048,184.00556328233665,-3.375,-3.125
1838m035,183.88038942976357,-3.5,183.75521557719048,184.00556328233665,-3.625,-3.375
1838p000,183.875,0,183.75,184,-0.125,0.125
1838p002,183.875,0.25,183.75,184,0.125,0.375
1838p005,183.875,0.5,183.75,184,0.375,0.625
1838p007,183.875,0.75,183.75,184,0.625,0.875
1838p010,183.875,1,183.75,184,0.875,1.125
1838p012,183.875,1.25,183.75,184,1.125,1.375
1838p015,183.875,1.5,183.75,184,1.375,1.625
1838p017,183.875,1.75,183.75,184,1.625,1.875
1838p020,183.875,2,183.75,184,1.875,2.125
1838p022,183.875,2.25,183.75,184,2.125,2.375
1838p025,183.875,2.5,183.75,184,2.375,2.625
1838p027,183.875,2.75,183.75,184,2.625,2.875
1838p030,183.875,3,183.75,184,2.875,3.125
1838p032,183.88038942976357,3.25,183.75521557719048,184.00556328233665,3.125,3.375
1838p035,183.88038942976357,3.5,183.75521557719048,184.00556328233665,3.375,3.625
1841m002,184.125,-0.25,184,184.25,-0.375,-0.125
1841m005,184.125,-0.5,184,184.25,-0.625,-0.375
1841m007,184.125,-0.75,184,184.25,-0.875,-0.625
1841m010,184.125,-1,184,184.25,-1.125,-0.875
1841m012,184.125,-1.25,184,184.25,-1.375,-1.125
1841m015,184.125,-1.5,184,184.25,-1.625,-1.375
1841m017,184.125,-1.75,184,184.25,-1.875,-1.625
1841m020,184.125,-2,184,184.25,-2.125,-1.875
1841m022,184.125,-2.25,184,184.25,-2.375,-2.125
1841m025,184.125,-2.5,184,184.25,-2.625,-2.375
1841m027,184.125,-2.75,184,184.25,-2.875,-2.625
1841m030,184.125,-3,184,184.25,-3.125,-2.875
1841m032,184.1307371349096,-3.25,184.00556328233654,184.2559109874826,-3.375,-3.125
1841m035,184.1307371349096,-3.5,184.00556328233654,184.2559109874826,-3.625,-3.375
1841p000,184.125,0,184,184.25,-0.125,0.125
1841p002,184.125,0.25,184,184.25,0.125,0.375
1841p005,184.125,0.5,184,184.25,0.375,0.625
1841p007,184.125,0.75,184,184.25,0.625,0.875
1841p010,184.125,1,184,184.25,0.875,1.125
1841p012,184.125,1.25,184,184.25,1.125,1.375
1841p015,184.125,1.5,184,184.25,1.375,1.625
1841p017,184.125,1.75,184,184.25,1.625,1.875
1841p020,184.125,2,184,184.25,1.875,2.125
1841p022,184.125,2.25,184,184.25,2.125,2.375
1841p025,184.125,2.5,184,184.25,2.375,2.625
1841p027,184.125,2.75,184,184.25,2.625,2.875
1841p030,184.125,3,184,184.25,2.875,3.125
1841p032,184.1307371349096,3.25,184.00556328233654,184.2559109874826,3.125,3.375
1841p035,184.1307371349096,3.5,184.00556328233654,184.2559109874826,3.375,3.625
1843m002,184.375,-0.25,184.25,184.5,-0.375,-0.125
1843m005,184.375,-0.5,184.25,184.5,-0.625,-0.375
1843m007,184.375,-0.75,184.25,184.5,-0.875,-0.625
1843m010,184.375,-1,184.25,184.5,-1.125,-0.875
1843m012,184.375,-1.25,184.25,184.5,-1.375,-1.125
1843m015,184.375,-1.5,184.25,184.5,-1.625,-1.375
1843m017,184.375,-1.75,184.25,184.5,-1.875,-1.625
1843m020,184.375,-2,184.25,184.5,-2.125,-1.875
1843m022,184.375,-2.25,184.25,184.5,-2.375,-2.125
1843m025,184.375,-2.5,184.25,184.5,-2.625,-2.375
1843m027,184.375,-2.75,184.25,184.5,-2.875,-2.625
1843m030,184.375,-3,184.25,184.5,-3.125,-2.875
1843m032,184.38108484005562,-3.25,184.2559109874826,184.50625869262865,-3.375,-3.125
1843m035,184.38108484005562,-3.5,184.2559109874826,184.50625869262865,-3.625,-3.375
1843p000,184.375,0,184.25,184.5,-0.125,0.125
1843p002,184.375,0.25,184.25,184.5,0.125,0.375
1843p005,184.375,0.5,184.25,184.5,0.375,0.625
1843p007,184.375,0.75,184.25,184.5,0.625,0.875
1843p010,184.375,1,184.25,184.5,0.875,1.125
1843p012,184.375,1.25,184.25,184.5,1.125,1.375
1843p015,184.375,1.5,184.25,184.5,1.375,1.625
1843p017,184.375,1.75,184.25,184.5,1.625,1.875
1843p020,184.375,2,184.25,184.5,1.875,2.125
1843p022,184.375,2.25,184.25,184.5,2.125,2.375
1843p025,184.375,2.5,184.25,184.5,2.375,2.625
1843p027,184.375,2.75,184.25,184.5,2.625,2.875
1843p030,184.375,3,184.25,184.5,2.875,3.125
1843p032,184.38108484005562,3.25,184.2559109874826,184.50625869262865,3.125,3.375
1843p035,184.38108484005562,3.5,184.2559109874826,184.50625869262865,3.375,3.625
1846m002,184.625,-0.25,184.5,184.75,-0.375,-0.125
1846m005,184.625,-0.5,184.5,184.75,-0.625,-0.375
1846m007,184.625,-0.75,184.5,184.75,-0.875,-0.625
1846m010,184.625,-1,184.5,184.75,-1.125,-0.875
1846m012,184.625,-1.25,184.5,184.75,-1.375,-1.125
1846m015,184.625,-1.5,184.5,184.75,-1.625,-1.375
1846m017,184.625,-1.75,184.5,184.75,-1.875,-1.625
1846m020,184.625,-2,184.5,184.75,-2.125,-1.875
1846m022,184.625,-2.25,184.5,184.75,-2.375,-2.125
1846m025,184.625,-2.5,184.5,184.75,-2.625,-2.375
1846m027,184.625,-2.75,184.5,184.75,-2.875,-2.625
1846m030,184.625,-3,184.5,184.75,-3.125,-2.875
1846m032,184.63143254520168,-3.25,184.50625869262865,184.7566063977747,-3.375,-3.125
1846m035,184.63143254520168,-3.5,184.50625869262865,184.7566063977747,-3.625,-3.375
1846p000,184.625,0,184.5,184.75,-0.125,0.125
1846p002,184.625,0.25,184.5,184.75,0.125,0.375
1846p005,184.625,0.5,184.5,184.75,0.375,0.625
1846p007,184.625,0.75,184.5,184.75,0.625,0.875
1846p010,184.625,1,184.5,184.75,0.875,1.125
1846p012,184.625,1.25,184.5,184.75,1.125,1.375
1846p015,184.625,1.5,184.5,184.75,1.375,1.625
1846p017,184.625,1.75,184.5,184.75,1.625,1.875
1846p020,184.625,2,184.5,184.75,1.875,2.125
1846p022,184.625,2.25,184.5,184.75,2.125,2.375
1846p025,184.625,2.5,184.5,184.75,2.375,2.625
1846p027,184.625,2.75,184.5,184.75,2.625,2.875
1846p030,184.625,3,184.5,184.75,2.875,3.125
1846p032,184.63143254520168,3.25,184.50625869262865,184.7566063977747,3.125,3.375
